
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
08:BD:43:FE:D9:5E, 2016-05-02 20:33:21, 2016-05-02 20:33:21,  6,  54, WPA2, CCMP,PSK, -90,        1,        0,   0.  0.  0.  0,  19, WiFi is tight (2.4), 
D4:EE:07:28:BE:62, 2016-05-02 20:33:21, 2016-05-02 20:33:28,  1,  54, WPA2, CCMP,PSK, -89,        3,        0,   0.  0.  0.  0,   3, LMY, 
EA:B1:FC:5E:EB:5B, 2016-05-02 20:33:18, 2016-05-02 20:33:32,  1,  54, WPA2, CCMP,PSK, -88,        4,        0,   0.  0.  0.  0,  12, LDC_SAP_Q-PC, 
00:0C:E6:A2:9C:44, 2016-05-02 20:33:18, 2016-05-02 20:33:32,  1,  54, WPA2, CCMP, MGT, -86,       26,        0,   0.  0.  0.  0,   7, eduroam, 
00:0C:E6:A2:38:44, 2016-05-02 20:33:20, 2016-05-02 20:33:31, 11,  54, WPA2, CCMP, MGT, -86,        9,        1,   0.  0.  0.  0,  11, IllinoisNet, 
00:0C:E6:A2:01:C0, 2016-05-02 20:33:20, 2016-05-02 20:33:31, 11,  54, WPA2, CCMP,PSK, -86,       11,        0,   0.  0.  0.  0,  19, IllinoisNet_Devices, 
00:0C:E6:A2:70:5E, 2016-05-02 20:33:18, 2016-05-02 20:33:32,  1,  54, WPA2, CCMP,PSK, -87,       46,        0,   0.  0.  0.  0,  19, IllinoisNet_Devices, 
00:0C:E6:A2:D7:05, 2016-05-02 20:33:18, 2016-05-02 20:33:32,  1,  54, OPN, ,   , -87,       34,        0,   0.  0.  0.  0,  17, IllinoisNet_Start, 
00:0C:E6:A2:3B:AF, 2016-05-02 20:33:20, 2016-05-02 20:33:31, 11,  54, WPA2, CCMP, MGT, -86,       12,        0,   0.  0.  0.  0,   7, eduroam, 
00:0C:E6:A2:E0:37, 2016-05-02 20:33:20, 2016-05-02 20:33:31, 11,  54, OPN, ,   , -86,       10,        0,   0.  0.  0.  0,  17, IllinoisNet_Start, 
00:0C:E6:A2:02:A1, 2016-05-02 20:33:18, 2016-05-02 20:33:32,  1,  54, WPA2, CCMP, MGT, -89,       23,        5,   0.  0.  0.  0,  11, IllinoisNet, 
00:0C:E6:A2:E2:CD, 2016-05-02 20:33:18, 2016-05-02 20:33:32,  6,  54, OPN, ,   , -58,       14,      515, 172. 16.203.192,  17, IllinoisNet_Start, 
00:0C:E6:A2:F4:AC, 2016-05-02 20:33:21, 2016-05-02 20:33:31,  6,  54, WPA2, CCMP,PSK, -64,       13,        0,   0.  0.  0.  0,  19, IllinoisNet_Devices, 
00:0C:E6:A2:13:99, 2016-05-02 20:33:18, 2016-05-02 20:33:32,  6,  54, WPA2 OPN, CCMP, MGT, -60,       20,      322,   0.  0.  0.  0,  11, IllinoisNet, 
64:BC:0C:1F:DF:EE, 2016-05-02 20:33:18, 2016-05-02 20:33:32, 11,  54, WPA2, CCMP,PSK, -61,       27,       12,   0.  0.  0.  0,   5, LG G4, 
00:0C:E6:A2:0B:98, 2016-05-02 20:33:21, 2016-05-02 20:33:32,  6,  54, WPA2, CCMP, MGT, -62,       17,        0,   0.  0.  0.  0,   7, eduroam, 
00:25:00:FF:94:73, 2016-05-02 20:33:21, 2016-05-02 20:33:28, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
7E:0C:01:08:AA:58, 2016-05-02 20:33:28, 2016-05-02 20:33:28, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
AC:FD:CE:5A:CE:E5, 2016-05-02 20:33:21, 2016-05-02 20:33:21, -92,        1, 00:0C:E6:A2:38:44,
C0:EE:FB:35:96:CF, 2016-05-02 20:33:20, 2016-05-02 20:33:20, -90,        2, (not associated) ,
40:F3:08:B8:D2:4E, 2016-05-02 20:33:24, 2016-05-02 20:33:24, -90,        3, (not associated) ,IllinoisNet
80:E6:50:05:72:F0, 2016-05-02 20:33:25, 2016-05-02 20:33:25, -90,        1, (not associated) ,IllinoisNet
F0:99:BF:3D:E1:54, 2016-05-02 20:33:20, 2016-05-02 20:33:21, -89,        3, (not associated) ,IllinoisNet
DC:85:DE:9A:A7:A8, 2016-05-02 20:33:21, 2016-05-02 20:33:23, -89,        7, 00:0C:E6:A2:02:A1,IllinoisNet
5C:51:4F:4F:14:5B, 2016-05-02 20:33:24, 2016-05-02 20:33:24, -89,        2, 00:0C:E6:A2:02:A1,
EC:1F:72:6F:81:3A, 2016-05-02 20:33:25, 2016-05-02 20:33:25, -89,        1, (not associated) ,
80:EA:96:2F:03:76, 2016-05-02 20:33:25, 2016-05-02 20:33:25, -89,        1, (not associated) ,IllinoisNet
30:10:B3:B4:A1:4F, 2016-05-02 20:33:22, 2016-05-02 20:33:22, -88,        1, (not associated) ,IllinoisNet
80:E6:50:1C:EB:78, 2016-05-02 20:33:23, 2016-05-02 20:33:23, -87,        1, (not associated) ,
60:F1:89:01:75:95, 2016-05-02 20:33:24, 2016-05-02 20:33:24, -87,        1, (not associated) ,IllinoisNet
A4:5E:60:D3:61:79, 2016-05-02 20:33:23, 2016-05-02 20:33:23, -86,        3, (not associated) ,gungan
08:3E:8E:2C:E3:A7, 2016-05-02 20:33:24, 2016-05-02 20:33:31, -89,        2, 00:0C:E6:A2:38:44,
3C:A9:F4:34:AF:78, 2016-05-02 20:33:21, 2016-05-02 20:33:31, -81,        3, 00:0C:E6:A2:38:44,
D0:25:98:44:61:48, 2016-05-02 20:33:28, 2016-05-02 20:33:28, -85,        1, (not associated) ,IllinoisNet
BC:77:37:7F:26:DC, 2016-05-02 20:33:23, 2016-05-02 20:33:23, -83,        1, (not associated) ,IllinoisNet
9C:2A:70:0B:35:8F, 2016-05-02 20:33:18, 2016-05-02 20:33:30, -82,        3, 00:0C:E6:A2:02:A1,
96:60:96:A4:E7:12, 2016-05-02 20:33:25, 2016-05-02 20:33:25, -83,        1, (not associated) ,
00:CD:FE:9E:41:32, 2016-05-02 20:33:23, 2016-05-02 20:33:32, -84,       12, 00:0C:E6:A2:02:A1,
78:9F:70:7A:7F:64, 2016-05-02 20:33:28, 2016-05-02 20:33:28, -82,        1, 00:0C:E6:A2:13:99,
AC:CF:85:28:F4:A2, 2016-05-02 20:33:21, 2016-05-02 20:33:21, -81,        1, (not associated) ,IllinoisNet
A0:99:9B:0E:DF:2B, 2016-05-02 20:33:22, 2016-05-02 20:33:22, -81,        8, (not associated) ,UIUCnet
70:3E:AC:59:E4:6A, 2016-05-02 20:33:22, 2016-05-02 20:33:22, -81,        2, (not associated) ,IllinoisNet
EC:9B:F3:A0:39:08, 2016-05-02 20:33:28, 2016-05-02 20:33:28, -81,        2, (not associated) ,
54:26:96:D6:C1:BD, 2016-05-02 20:33:28, 2016-05-02 20:33:28, -81,        2, 00:0C:E6:A2:E2:CD,
A8:BB:CF:0A:5A:EC, 2016-05-02 20:33:20, 2016-05-02 20:33:28, -80,       12, 00:0C:E6:A2:38:44,
B8:76:3F:61:0B:4D, 2016-05-02 20:33:24, 2016-05-02 20:33:28, -79,       25, 00:0C:E6:A2:13:99,
